0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:02 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:02 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:08 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:10 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:10 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:11 +0530] "GET /Ebook-App/cart?bid=2&&uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:11 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:11 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:14 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:16 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:16 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:17 +0530] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:19 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:19 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:19 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:20 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:20 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:26 +0530] "GET /Ebook-App/cart?bid=2&&uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:26 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:26 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:28 +0530] "GET /Ebook-App/cart?bid=2&&uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:28 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:28 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:29 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:29 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:30 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:30 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:32 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:53 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:53 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:53:53 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:54:18 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:54:18 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:54:21 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:54:21 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:17 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:17 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:17 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:28 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:28 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:31 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:31 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:56:34 +0530] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:18 +0530] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:18 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:20 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:20 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:38 +0530] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:50 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 10879
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:50 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:54 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:57:54 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:04 +0530] "GET /Ebook-App/cart?bid=2&&uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:04 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:04 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:05 +0530] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 6190
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:05 +0530] "GET /Ebook-App/book/Screenshot%20(2).png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:58:16 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
